ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL1626570,HEXOCYCLIUM METHYLSULFATE,HEXOCYCLIUM METHYL SULFATE|HEXOCYCLIUM METHYLSULFATE|HEXOCYCLIUM METHYLSULPHATE|HEXOCYCLIUM METILSULFATE|HEXOCYCLIUM METILSULPHATE|NSC-30256|Tral,Small molecule,4,428.6,,,2.85,23.47,2,1,0,4,N,0.86,13.51,4.95,-0.99,-0.99,1,MOL,0,23,3,1,0,317.2587,-0.09,NEUTRAL,C21H36N2O5S,COS(=O)(=O)[O-].C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,NSILVESQCSUIAJ-UHFFFAOYSA-M
CHEMBL3833405,INOSINE PRANOBEX,,Small molecule,4,577.72,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,577.3799,None,None,C25H51N7O8,CC(O)CN(C)C.CC(O)CN(C)C.CC(O)CN(C)C.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,JBVWKTQYMFTKMW-MSQVLRTGSA-N
CHEMBL385517,SAXAGLIPTIN,BMS-477118|BMS-477118-11|SAXAGLIPTIN,Small molecule,4,315.42,28,120,1.16,90.35,4,2,0,2,N,0.8,None,7.9,-0.08,-0.7,0,MOL,0,23,5,3,0,315.1947,0.17,NEUTRAL,C18H25N3O2,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,QGJUIPDUBHWZPV-SGTAVMJGSA-N
CHEMBL4594619,TECHNETIUM SESTAMIBI,,Small molecule,4,789.06,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,787.5014,None,None,C36H78N6O6Tc+6,,
CHEMBL113150,CETRIMIDE,ANGLIAN|BACTRIAN|BANSOR|CEANEL|CETAVLEX|CETAVLON|CETAVLON PC|CETRIMIDE|CETRIMIDE BROMIDE|CETRIMIDES|CETRIMIDUM|CRADOCAP|Cetrimide|LISSOLAMINE V|MEDICAID|QUAMMONIUM|RICHMOND|SUTICIDE|TORACSOL|Tetradonium bromide,Small molecule,4,336.4,7,43,5.39,0,0,0,1,13,N,0.31,None,None,1.8,1.8,0,MOL,0,18,1,0,1,256.2999,0.51,None,C17H38BrN,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],CXRFDZFCGOPDTD-UHFFFAOYSA-M
CHEMBL3184437,DICHLOROBENZYL ALCOHOL,DICHLOROBENZYL ALCOHOL|DYBENAL|NSC-15635|OXICONAZOLE RELATED COMPOUND D|RAPIDOSEPT,Small molecule,4,177.03,5,8,2.49,20.23,1,1,0,1,Y,0.7,None,None,2.41,2.41,1,MOL,0,10,1,1,0,175.9796,-0.78,NEUTRAL,C7H6Cl2O,OCc1ccc(Cl)cc1Cl,DBHODFSFBXJZNY-UHFFFAOYSA-N
CHEMBL1200542,DESOXYCORTICOSTERONE ACETATE,11-DEOXYCORTICOSTERONE|11-DEOXYCORTICOSTERONE ACETATE|21-HYDROXYPROGESTERONE|DEOXYCORTICOSTERONE|DEOXYCORTICOSTERONE ACETATE|DEOXYCORTONE|DESOXYCORTICOSTERONE|DESOXYCORTICOSTERONE ACETATE|DESOXYCORTONE|DESOXYCORTONE ACETATE|Doca|NSC-11319|NSC-9567|Percorten,Small molecule,4,372.51,22,37,4.27,60.44,4,0,0,3,N,0.69,None,None,3.77,3.77,0,MOL,0,27,4,0,0,372.2301,1.96,NEUTRAL,C23H32O4,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,VPGRYOFKCNULNK-ACXQXYJUSA-N
CHEMBL3187246,METHAPYRILENE FUMARATE,METHAPYRILENE FUMARATE,Small molecule,4,871,,,2.71,19.37,4,0,0,6,N,0.8,None,8.76,3.11,1.73,2,MOL,0,18,3,0,0,261.13,-2.08,BASE,C40H50N6O12S2,CN(C)CCN(Cc1cccs1)c1ccccn1.CN(C)CCN(Cc1cccs1)c1ccccn1.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,OLGIEIJNOQGBSS-VQYXCCSOSA-N
CHEMBL1255739,METHAPYRILENE HYDROCHLORIDE,METHAPYRILENE HCL|METHAPYRILENE HYDROCHLORIDE|NSC-758410|THENYLPYRAMINE HYDROCHLORIDE|Thenylene Hydrochloride,Small molecule,4,297.86,18,39,2.71,19.37,4,0,0,6,N,0.8,None,8.76,3.11,1.73,2,MOL,0,18,3,0,0,261.13,-2.08,BASE,C14H20ClN3S,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,BONORRGKLJBGRV-UHFFFAOYSA-N
CHEMBL2108021,BESILESOMAB,BESILESOMAB|BESILESOMAB (99M-TC)|BW250/183|Besilesomab|SCINTIMUN|TECHNETIUM (99MTC) BESILESOMAB|TECHNETIUM TC 99M BESILESOMAB|TECHNETIUM TC-99M BESILESOMAB,Antibody,4,,,,,,,,,,,,,,,,,SEQ,0,,,,,,,,,,
CHEMBL3989461,ROSE BENGAL SODIUM I 131,IODINE (131I) ROSE BENGAL SODIUM|ROBENGATOPE|ROBENOGATOPE I-131|ROSE BENGAL (131 I) SODIUM|ROSE BENGAL (131I) SODIUM|ROSE BENGAL SODIUM (131I)|ROSE BENGAL SODIUM I 131|ROSE BENGAL SODIUM I-131|ROSE BENGAL SODIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2364968,ERGOLOID,,Small molecule,4,2330.89,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,2329.2744,None,None,C130H168N20O20,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O.CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CCC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,ZQLJWTRXKINMIN-BEJKIDSHSA-N
CHEMBL1200790,METHYPRYLON,METHYPRYLON|NSC-30442|Noludar,Small molecule,4,183.25,6,29,1.13,46.17,2,1,0,2,Y,0.65,None,None,1.88,1.88,0,MOL,0,13,3,1,0,183.1259,1.02,NEUTRAL,C10H17NO2,CCC1(CC)C(=O)NCC(C)C1=O,SIDLZWOQUZRBRU-UHFFFAOYSA-N
CHEMBL1200367,ECHOTHIOPHATE IODIDE,217-MI|ECHODIDE|ECHOTHIOPHATE IODIDE|ECOSTIGMINE IODIDE|ECOTHIOPATE IODIDE|Phospholine Iodide,Small molecule,4,383.23,2,4,2.61,35.53,4,0,0,8,N,0.49,None,None,-3.05,-3.05,0,MOL,0,15,4,0,0,256.1131,0.29,None,C9H23INO3PS,CCOP(=O)(OCC)SCC[N+](C)(C)C.[I-],OVXQHPWHMXOFRD-UHFFFAOYSA-M
CHEMBL5095505,AMPHETAMINE/DEXTROAMPHETAMINE,,Small molecule,4,405.63,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,405.3144,None,None,C27H39N3,CC(N)Cc1ccccc1.C[C@H](N)Cc1ccccc1.C[C@H](N)Cc1ccccc1,DUKHFSGXIHAISL-QXGOIDDHSA-N
CHEMBL2105722,NOMEGESTROL,NOMEGESTROL,Small molecule,4,328.45,2,19,3.61,54.37,3,1,0,1,N,0.8,12.7,None,2.98,2.98,0,MOL,0,24,3,1,0,328.2038,2.1,NEUTRAL,C21H28O3,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,KZUIYQJTUIACIG-YBZCJVABSA-N
CHEMBL1228,OXYPHENBUTAZONE,Oxyphenbutazone|Tandearil,Small molecule,4,324.38,70,153,3.49,60.85,3,1,0,5,N,0.86,4.73,None,3.83,1.83,2,MOL,0,24,5,1,0,324.1474,0.26,ACID,C19H20N2O3,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,HFHZKZSRXITVMK-UHFFFAOYSA-N
CHEMBL19215,METERGOLINE,FI 6337|FI-6337|LISERDOL|MCE|METERGOLINE|NSC-755878,Small molecule,4,403.53,190,505,4.06,46.5,4,1,0,4,N,0.71,None,8.22,3.99,3.11,3,MOL,0,30,5,1,0,403.226,0.33,NEUTRAL,C25H29N3O2,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,WZHJKEUHNJHDLS-QTGUNEKASA-N
CHEMBL1342,OXYBATE,.GAMMA.-HYDROXYBUTYRATE|GAMMA HYDROXYBUTYRATE|GAMMA-HYDROXYBUTYRATE|OXYBATE|Oxybate|Xyrem,Small molecule,4,104.11,12,30,-0.16,57.53,2,2,0,3,Y,0.52,4.44,None,-0.51,-3.37,0,MOL,0,7,3,2,0,104.0473,1.11,ACID,C4H8O3,O=C(O)CCCO,SJZRECIVHVDYJC-UHFFFAOYSA-N
CHEMBL1200584,AMINOSALICYLATE POTASSIUM,AMINOSALICYLATE POTASSIUM|PASKALIUM|POTASSIUM AMINOSALICYLATE|Potassium aminosalicylate,Small molecule,4,191.23,,,0.67,83.55,3,3,0,1,N,0.52,3.68,2.19,0.83,-2.23,1,MOL,0,11,4,4,0,153.0426,0.24,ACID,C7H6KNO3,Nc1ccc(C(=O)[O-])c(O)c1.[K+],PRZJIMSXCLZGLT-UHFFFAOYSA-M
CHEMBL1985928,METHOXYPHENAMINE HYDROCHLORIDE,METHOXYPHENAMINE HCL|METHOXYPHENAMINE HYDROCHLORIDE|NSC-65644|ORTHOXINE,Small molecule,4,215.72,59,59,1.85,21.26,2,1,0,4,N,0.76,None,10.04,2.08,-0.47,1,MOL,0,13,2,1,0,179.131,-0.36,BASE,C11H18ClNO,CNC(C)Cc1ccccc1OC.Cl,FGSJNNQVSUVTPW-UHFFFAOYSA-N
CHEMBL1644030,POTASSIUM BROMIDE,KALI BROMATUM|NSC-77367|POT BROM|POTASSIUM BROMIDE|Potassium Bromide,Small molecule,4,119,6,6,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,1,None,None,None,None,117.882,None,None,BrK,[Br-].[K+],IOLCXVTUBQKXJR-UHFFFAOYSA-M
CHEMBL360055,GALLAMINE,GALLAMINE|Gallamine,Small molecule,4,510.83,31,58,5.45,27.69,3,0,2,21,N,0.21,None,None,-7.72,-7.72,1,MOL,0,36,6,0,2,510.4618,-0.04,NEUTRAL,C30H60N3O3+3,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,OZLPUNFFCJDMJD-UHFFFAOYSA-N
CHEMBL1199080,BRETYLIUM,BRETYLIUM CATION|BRETYLIUM ION|Bretylium,Small molecule,4,243.17,20,35,3.05,0,0,0,0,3,N,0.72,None,None,-1.12,-1.12,1,MOL,0,13,1,0,0,242.0539,-0.45,NEUTRAL,C11H17BrN+,CC[N+](C)(C)Cc1ccccc1Br,AAQOQKQBGPPFNS-UHFFFAOYSA-N
CHEMBL1200440,MEPIVACAINE HYDROCHLORIDE,ARESTOCAINE HYDROCHLORIDE|Carbocaine|ISOCAINE HYDROCHLORIDE|MEPIVACAINE HCL|MEPIVACAINE HYDROCHLORIDE|MEPIVACAINE MONOHYDROCHLORIDE|NSC-758674|OPTOCAIN|POLOCAINE-MPF|Polocaine|SCANDICAIN|SCANDICAINE|SCANDONEST|SCANDONEST PLAIN,Small molecule,4,282.82,22,22,2.73,32.34,2,1,0,2,Y,0.87,13.62,7.25,3.19,2.96,1,MOL,0,18,3,1,0,246.1732,-1.02,NEUTRAL,C15H23ClN2O,Cc1cccc(C)c1NC(=O)C1CCCCN1C.Cl,RETIMRUQNCDCQB-UHFFFAOYSA-N
CHEMBL1201322,THONZONIUM,THONZONIUM CATION|THONZONIUM ION|TONZONIUM,Small molecule,4,511.82,20,28,8.05,38.25,4,0,2,22,N,0.12,None,3.12,4.92,4.92,2,MOL,0,37,5,0,2,511.437,-0.3,NEUTRAL,C32H55N4O+,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,IOYZYMQFUSNATM-UHFFFAOYSA-N
CHEMBL1367605,RITODRINE HYDROCHLORIDE,LUTEONIN|NSC-291565|RITODRINE HCL|RITODRINE HYDROCHLORIDE|Yutopar,Small molecule,4,323.82,6,13,2.35,72.72,4,4,0,6,N,0.66,9.15,9.81,1.82,0.51,2,MOL,0,21,4,4,0,287.1521,0.23,BASE,C17H22ClNO3,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1.Cl,IDLSITKDRVDKRV-UHFFFAOYSA-N
CHEMBL2106155,ENCAINIDE HYDROCHLORIDE,ENCAINIDE HCL|ENCAINIDE HYDROCHLORIDE|Enkaid|MJ 9067-1|MJ-9067|MJ-9067-1,Small molecule,4,388.94,1,1,4.36,41.57,3,1,0,6,N,0.84,None,9.48,4.49,2.42,2,MOL,0,26,4,1,0,352.2151,-0.84,BASE,C22H29ClN2O2,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1.Cl,OJIIZIWOLTYOBS-UHFFFAOYSA-N
CHEMBL1201651,PROTAMINE SULFATE,NOVO PROTAMINE SULFATE|PROSULF|PROTAMINE|PROTAMINE SULFATE|PROTAMINE SULPHATE|PROTAMINES|PROTAMINI SULFAS|Protamine Sulphate,Protein,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,,,
CHEMBL1200755,CERULETIDE DIETHYLAMINE,CAERULEIN DIETHYLAMINE|CEOSUNIN|CERULETIDE DIETHYLAMINE|CERULETIDE DIETHYLAMINE SALT|TAKUS|Tymtran,Protein,4,1425.57,,,None,None,None,None,None,None,None,None,None,None,None,None,None,BOTH,0,None,None,None,None,1351.4485,None,None,C62H84N14O21S2,CCNCC.CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)[C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,FHDKSYKZXIFRKJ-CBCFNHQSSA-N
CHEMBL1201609,CORTICOTROPIN ZINC HYDROXIDE,CORTICOTROPHIN ZINC HYDROXIDE|CORTICOTROPIN ZINC HYDROXIDE|CORTICOTROPIN-ZINC HYDROXIDE|CORTROPHIN-ZINC|Corticotropin-zinc hydroxide|Cortrophin Zinc ACTH,Protein,4,,,,,,,,,,,,,,,,,SEQ,0,,,,,,,,,,
CHEMBL339427,TUBOCURARINE,D-TUBOCURARINE|TUBOCURARINE|TUBOCURARINE CATION|TUBOCURARINE ION|Tubocurarine,Small molecule,4,609.74,12,16,6.7,80.62,7,2,2,2,N,0.24,8.54,7.98,3.23,2.32,4,MOL,0,45,8,2,2,609.2959,2.26,NEUTRAL,C37H41N2O6+,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,JFJZZMVDLULRGK-URLMMPGGSA-O
CHEMBL2110576,TECHNETIUM MEDRONATE,,Small molecule,4,274,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,272.8703,None,None,CH6O6P2Tc,,
CHEMBL2218877,ERYTHROMYCIN ESTOLATE,ERYTHROMYCIN (AS ESTOLATE)|ERYTHROMYCIN ESTOLATE|ERYTHROMYCIN ESTORATE|ERYTHROMYCIN LAURYL SULFATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1201798,SEVELAMER,RENAGEL|RENVELA|SEVELAMER|SEVELAMER ANHYDROUS,Small molecule,4,149.62,4,20,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,149.0607,None,None,C6H12ClNO,C=CCN.ClCC1CO1,ZNSIZMQNQCNRBW-UHFFFAOYSA-N
CHEMBL2107948,PARAFORMALDEHYDE,FORMALDEHYDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2110564,TECHNETIUM LIDOFENIN,,Small molecule,4,392.31,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,391.0279,None,None,C14H18N2O5Tc,,
CHEMBL2110561,SAMARIUM LEXIDRONAM PENTASODIUM,,Small molecule,4,693.37,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,694.8026,None,None,C6H12N2Na5O12P4Sm,,
CHEMBL3991432,LUTETIUM DOTATATE,,Unknown,4,1610.62,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,1609.5356,None,None,C65H90LuN14O19S2,,
CHEMBL1200639,TECHNETIUM TC 99M GLUCEPTATE,GLUCOHEPTONIC ACID COMPLEX WITH 99MTC|Glucoscan|TECHNETIUM (99MTC) GLUCEPTATE|TECHNETIUM 99MTC GLUCOHEPTONATE|TECHNETIUM TC 99M GLUCEPTATE|TECHNETIUM TC 99M SODIUM GLUCEPTATE|TECHNETIUM TC-99M GLUCEPTATE|TECHNETIUM TC-99M GLUCEPTATE KIT|TechneScan Gluceptate|Technetium (99Mtc) Gluceptate|Technetium tc-99m gluceptate kit,Small molecule,4,325.09,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,322.9752,None,None,C7H14O8Tc,,
CHEMBL1200423,METRIZOATE SODIUM,METRIZOATE SODIUM|METRIZOIC ACID|METRIZOIC ACID SODIUM SALT|NSC-107431|SODIUM METRIZOATE,Small molecule,4,649.92,,,3.14,86.71,3,2,1,3,N,0.5,2.16,None,2.76,-0.76,1,MOL,0,21,6,2,1,627.7853,-0.58,ACID,C12H10I3N2NaO4,CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I.[Na+],UKIYDXCFKFLIMU-UHFFFAOYSA-M
CHEMBL1200597,ETIDOCAINE HYDROCHLORIDE,DURANEST|DURANEST HYDROCHLORIDE|ETIDOCAINE HCL|ETIDOCAINE HYDROCHLORIDE|W-19053,Small molecule,4,312.89,,,3.75,32.34,2,1,0,7,N,0.82,13.62,8.59,4.46,3.25,1,MOL,0,20,3,1,0,276.2202,-1.39,BASE,C17H29ClN2O,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C.Cl,LMWQQUMMGGIGJQ-UHFFFAOYSA-N
CHEMBL1200578,THEOPHYLLINE SODIUM GLYCINATE,Asbron|BRONCHOPARAT|ENGLATE|GLYCIN THEOPHYLLINATE|GLYTHEONATE|PANOPHYLLINE|SYNOPHYLATE|THEONATE SODIUM|THEOPHYLLINE SODIUM GLYCINATE,Small molecule,4,277.22,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,255.0968,None,None,C9H12N5NaO4,Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)[O-].[Na+],AIJQWRAOMFRHTQ-UHFFFAOYSA-M
CHEMBL1769,PROPOXYCAINE HYDROCHLORIDE,Blockain Hydrochloride|NSC-760044|PROPOXYCAINE HCL|PROPOXYCAINE HYDROCHLORIDE|Propoxycaine Hydrochloride|Ravocaine Hydrochloride,Small molecule,4,330.86,7,10,2.56,64.79,5,1,0,9,N,0.56,None,8.96,2.6,1.03,1,MOL,0,21,5,2,0,294.1943,-1.01,BASE,C16H27ClN2O3,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC.Cl,GITPCGSPKUQZTE-UHFFFAOYSA-N
CHEMBL2107004,QUINESTRADOL,COLPOVIS|PENTOVIS|QUINESTRADIOL|QUINESTRADOL,Small molecule,4,356.51,,,4.2,49.69,3,2,0,2,N,0.84,13.62,None,4.17,4.17,1,MOL,0,26,3,2,0,356.2351,1.85,NEUTRAL,C23H32O3,C[C@]12CC[C@@H]3c4ccc(OC5CCCC5)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,ODYKCPYPRCJXLY-PZORDLPLSA-N
CHEMBL1407915,NEFOPAM HYDROCHLORIDE,Acupan|NEFOPAM HCL|NEFOPAM HYDROCHLORIDE|NSC-757856,Small molecule,4,289.81,5,11,3.24,12.47,2,0,0,1,N,0.77,None,7.92,3.4,2.77,2,MOL,0,19,2,0,0,253.1467,-0.17,NEUTRAL,C17H20ClNO,CN1CCOC(c2ccccc2)c2ccccc2C1.Cl,CNNVSINJDJNHQK-UHFFFAOYSA-N
CHEMBL1200676,CHROMIC PHOSPHATE P 32,32P|CHROMIC PHOSPHATE P 32|CHROMIC PHOSPHATE P-32|CHROMIC PHOSPHATE P32|CHROMIC PHOSPHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2021424,POTASSIUM SULFATE,ARCANUM DUPLICATUM|E-515(I)|INS NO.515(I)|INS-515(I)|KALI SULPHURICUM|POT SULF|POTASSIUM (AS SULFATE)|POTASSIUM SULFATE|Potassium sulfate|SAL POLYCHRESTUM|SULFURIC ACID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2110551,TECHNETIUM PENTETATE,,Small molecule,4,509.3,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,507.9954,None,None,C14H18N3NaO10Tc,,
CHEMBL1200906,OXYPHENONIUM BROMIDE,ANTRENIL|Antrenyl|BA-5473|C-5473|NSC-759248|OXIFENON|OXYFENON|OXYPHENON|OXYPHENONIUM BROMIDE|SPASMODIN|SPASMOPHEN,Small molecule,4,428.41,18,27,3.48,46.53,3,1,0,8,N,0.58,11.53,None,-0.2,-0.2,1,MOL,0,25,4,1,0,348.2533,0.09,NEUTRAL,C21H34BrNO3,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.[Br-],UKLQXHUGTKWPSR-UHFFFAOYSA-M
CHEMBL1200586,PRILOCAINE HYDROCHLORIDE,ASTRA 1512|CITANEST HYDROCHLORIDE|CITANEST PLAIN|CITANEST PLAIN DENTAL|Citanest|L-67|NSC-758432|PRILOCAINE HCL|PRILOCAINE HYDROCHLORIDE|PROPITOCAINE HYDROCHLORIDE|XYLONEST,Small molecule,4,256.78,24,36,2.32,41.13,2,2,0,5,N,0.8,13.51,8.82,2.68,1.25,1,MOL,0,16,3,2,0,220.1576,-1.49,BASE,C13H21ClN2O,CCCNC(C)C(=O)Nc1ccccc1C.Cl,BJPJNTKRKALCPP-UHFFFAOYSA-N
CHEMBL2109036,IGOVOMAB,IGOVOMAB|Igovomab|Inadmacis-125|OC-125,Antibody,4,,,,,,,,,,,,,,,,,SEQ,0,,,,,,,,,,
CHEMBL1200621,GEMIFLOXACIN MESYLATE,Factive|GEMIFLOXACIN MESILATE|GEMIFLOXACIN MESYLATE|GEMIFLOXACIN METHANESULFONATE|LB 20304A|LB-20304A|SB-265805-S,Small molecule,4,485.49,26,69,0.97,123.04,8,2,0,5,N,0.73,5.35,9.23,-0.91,-0.91,2,MOL,0,28,9,3,0,389.1499,-0.47,ZWITTERION,C19H24FN5O7S,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN.CS(=O)(=O)O,JIYMVSQRGZEYAX-CWUUNJJBSA-N
CHEMBL1334033,PERHEXILINE MALEATE,NSC-758409|PERHEXILINE MALEATE|PERHEXILINUM|PEXSIG|Pexid,Small molecule,4,393.57,41,136,5.3,12.03,1,1,1,4,N,0.74,None,10.58,5.53,2.62,0,MOL,0,20,1,1,1,277.277,0.31,BASE,C23H39NO4,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O,JDZOTSLZMQDFLG-BTJKTKAUSA-N
CHEMBL54126,NEOSTIGMINE BROMIDE,KIRKSTIGMINE BROMIDE|NEO PROSERINE|NEOPROSERINE|NEOSTIGMINE BROMIDE|NEOSTIGMINI BROMIDUM|NSC-757233|Neostigmine|Neostigmine bromide|SYNTOSTIGMIN BROMIDE|VAGOSTIGMIN,Small molecule,4,303.2,134,776,1.94,29.54,2,0,0,2,Y,0.72,None,None,-2.25,-2.25,1,MOL,0,16,4,0,0,223.1441,-0.26,None,C12H19BrN2O2,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],LULNWZDBKTWDGK-UHFFFAOYSA-M
CHEMBL3990694,PIPERAZINE CITRATE,Antepar|Bryrel|MULTIFUGE|PIPERAZINE CITRATE|VERMIDOL,Small molecule,4,642.66,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,642.3072,None,None,C24H46N6O14,C1CNCCN1.C1CNCCN1.C1CNCCN1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O,JDDHUROHDHPVIO-UHFFFAOYSA-N
CHEMBL1697782,METHYLPREDNISOLONE ACEPONATE,ADVANTAN|METHYLPREDNISOLONE ACEPONATE,Small molecule,4,472.58,4,24,3.34,106.97,7,1,0,5,N,0.61,None,None,3.14,3.14,0,MOL,0,34,7,1,0,472.2461,2.1,NEUTRAL,C27H36O7,CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,DALKLAYLIPSCQL-YPYQNWSCSA-N
CHEMBL1201096,KRYPTON KR 81M,81MKR|KRYPTON (81M KR)|KRYPTON (81MKR)|KRYPTON (81MKR) GAS|KRYPTON KR 81M|KRYPTON KR-81M|KRYPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2105904,BARBITAL SODIUM,BARBITAL SODIUM|BARBITAL SODIUM SALT|BARBITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2108245,CREOSOTE CARBONATE,CREOSOTE|CREOSOTE CARBONATE|CREOSOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
